Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Day of Week ,Time Slot,Ticket Status,Victim Group,Resolution Time
20161,4/22/2022,4/20/2022,20-04-2022 07:05,Nashik,240,VEHICLE - STOLEN,25,Other,Knife,Violent Crime,11,No,,Wednesday,Evening,Pending,Adult,N/A
11687,5/4/2021,1/5/2021,02-05-2021 21:03,Delhi,402,BURGLARY,25,F,Blunt Object,Other Crime,15,No,,Tuesday,Morning,Pending,Adult,N/A
9704,2/11/2021,8/2/2021,09-02-2021 4:02,Kanpur,470,KIDNAPPING,50,M,Explosives,Other Crime,7,Yes,2/25/2021,Monday,Morning,Solved,Adult,14
19403,3/20/2022,3/19/2022,19-03-2022 16:03,Jaipur,358,SHOPLIFTING,77,F,Other,Other Crime,15,Yes,6/5/2022,Saturday,Evening,Solved,Senior,77
17361,12/27/2021,12/24/2021,24-12-2021 15:41,Delhi,337,DOMESTIC VIOLENCE,65,M,Blunt Object,Violent Crime,15,Yes,2/20/2022,Friday,Night,Solved,Senior,55
27953,3/10/2023,10/3/2023,11-03-2023 6:32,Delhi,498,FIREARM OFFENSE,67,M,Knife,Fire Accident,5,Yes,3/22/2023,Tuesday,Morning,Solved,Senior,12
13644,7/24/2021,7/22/2021,22-07-2021 17:40,Bangalore,381,CYBERCRIME,70,F,Other,Other Crime,5,No,,Thursday,Night,Pending,Senior,N/A
23358,8/31/2022,8/31/2022,31-08-2022 18:10,Pune,200,TRAFFIC VIOLATION,45,F,Knife,Traffic Fatality,18,No,,Wednesday,Night,Pending,Adult,N/A
8170,12/8/2020,6/12/2020,06-12-2020 19:43,Kolkata,100,PUBLIC INTOXICATION,44,F,Firearm,Other Crime,7,Yes,12/19/2020,Friday,Morning,Solved,Adult,11
10415,3/12/2021,9/3/2021,10-03-2021 5:10,Nagpur,241,DOMESTIC VIOLENCE,60,F,Other,Violent Crime,15,No,,Friday,Morning,Pending,Senior,N/A
2308,4/7/2020,6/4/2020,06-04-2020 21:28,Jaipur,573,FRAUD,44,F,Knife,Other Crime,6,Yes,5/6/2020,Thursday,Morning,Solved,Adult,29
10724,3/25/2021,3/22/2021,23-03-2021 11:27,Hyderabad,239,DRUG OFFENSE,48,F,Other,Other Crime,16,Yes,4/13/2021,Monday,Night,Solved,Adult,19
35357,1/13/2024,1/13/2024,14-01-2024 02:47,Hyderabad,314,BURGLARY,31,M,Blunt Object,Other Crime,11,Yes,2/25/2024,Saturday,Afternoon,Solved,Adult,43
11804,5/6/2021,6/5/2021,06-05-2021 19:50,Nagpur,116,CYBERCRIME,50,F,None,Other Crime,17,Yes,6/29/2021,Saturday,Morning,Solved,Adult,54
20097,4/19/2022,4/17/2022,18-04-2022 07:42,Bangalore,502,FRAUD,42,Other,Blunt Object,Other Crime,14,Yes,6/13/2022,Sunday,Evening,Solved,Adult,55
30016,6/5/2023,4/6/2023,05-06-2023 8:32,Lucknow,174,IDENTITY THEFT,47,F,Explosives,Violent Crime,18,Yes,6/14/2023,Thursday,Morning,Solved,Adult,9
33641,11/4/2023,2/11/2023,02-11-2023 17:03,Lucknow,235,FIREARM OFFENSE,31,M,Firearm,Fire Accident,7,No,,Saturday,Morning,Pending,Adult,N/A
4953,7/26/2020,7/25/2020,26-07-2020 07:54,Hyderabad,504,VEHICLE - STOLEN,59,F,None,Violent Crime,6,Yes,8/6/2020,Saturday,Night,Solved,Adult,11
15271,9/30/2021,9/28/2021,28-09-2021 13:13,Mumbai,202,ASSAULT,22,M,Other,Violent Crime,9,No,,Tuesday,Night,Pending,Adult,N/A
33702,11/5/2023,5/11/2023,05-11-2023 10:19,Rajkot,341,ILLEGAL POSSESSION,79,F,Explosives,Other Crime,3,Yes,1/15/2024,Thursday,Morning,Solved,Senior,71
39604,7/10/2024,8/7/2024,08-07-2024 21:46,Chennai,153,ASSAULT,25,F,Knife,Violent Crime,12,Yes,9/8/2024,Wednesday,Morning,Solved,Adult,60
18956,3/3/2022,2/28/2022,01-03-2022 10:25,Agra,415,IDENTITY THEFT,35,Other,Poison,Violent Crime,16,No,,Monday,Morning,Pending,Adult,N/A
39810,7/18/2024,7/16/2024,16-07-2024 18:50,Kanpur,485,FIREARM OFFENSE,13,F,Firearm,Fire Accident,6,Yes,8/16/2024,Tuesday,Afternoon,Solved,Minor,29
12942,6/24/2021,6/23/2021,23-06-2021 05:59,Kanpur,501,ASSAULT,16,M,Explosives,Violent Crime,19,Yes,8/29/2021,Wednesday,Night,Solved,Minor,66
8634,12/27/2020,12/25/2020,25-12-2020 19:42,Varanasi,344,ARSON,40,F,Blunt Object,Fire Accident,3,No,,Friday,Night,Pending,Adult,N/A
4826,7/20/2020,7/20/2020,20-07-2020 01:31,Ahmedabad,173,BURGLARY,32,M,None,Other Crime,7,No,,Monday,Evening,Pending,Adult,N/A
16397,11/15/2021,11/14/2021,14-11-2021 09:19,Bangalore,104,VANDALISM,75,M,Poison,Other Crime,16,No,,Sunday,Afternoon,Pending,Senior,N/A
28285,3/27/2023,3/24/2023,25-03-2023 06:35,Agra,312,BURGLARY,28,M,Other,Other Crime,7,No,,Friday,Night,Pending,Adult,N/A
36957,3/19/2024,3/19/2024,20-03-2024 19:20,Lucknow,135,HOMICIDE,26,M,Poison,Other Crime,12,No,,Tuesday,Evening,Pending,Adult,N/A
29802,5/29/2023,5/26/2023,27-05-2023 00:47,Delhi,112,ROBBERY,19,M,Explosives,Violent Crime,1,No,,Friday,Night,Pending,Adult,N/A
7006,10/20/2020,10/18/2020,19-10-2020 08:34,Pune,357,VEHICLE - STOLEN,70,M,Knife,Violent Crime,17,Yes,10/27/2020,Sunday,Evening,Solved,Senior,7
36994,3/22/2024,3/21/2024,22-03-2024 04:13,Lucknow,136,TRAFFIC VIOLATION,16,F,Other,Traffic Fatality,3,No,,Thursday,Night,Pending,Minor,N/A
28586,4/7/2023,6/4/2023,06-04-2023 6:12,Kolkata,150,DRUG OFFENSE,13,Other,None,Other Crime,2,Yes,6/10/2023,Sunday,Morning,Solved,Minor,64
10414,3/10/2021,9/3/2021,10-03-2021 12:05,Delhi,168,ROBBERY,66,M,None,Violent Crime,12,No,,Friday,Morning,Pending,Senior,N/A
31847,8/21/2023,8/19/2023,20-08-2023 17:24,Bangalore,546,ASSAULT,34,M,Blunt Object,Violent Crime,17,Yes,11/12/2023,Saturday,Evening,Solved,Adult,83
28735,4/12/2023,12/4/2023,12-04-2023 22:44,Kolkata,457,DRUG OFFENSE,15,F,Other,Other Crime,13,No,,Monday,Afternoon,Pending,Minor,N/A
4006,6/16/2020,6/15/2020,16-06-2020 15:04,Mumbai,565,ROBBERY,20,M,Poison,Violent Crime,8,No,,Monday,Afternoon,Pending,Adult,N/A
19390,3/19/2022,3/18/2022,19-03-2022 01:05,Mumbai,314,ARSON,78,F,Firearm,Fire Accident,19,No,,Friday,Evening,Pending,Senior,N/A
34743,12/20/2023,12/18/2023,18-12-2023 22:30,Indore,298,DOMESTIC VIOLENCE,49,F,Explosives,Violent Crime,6,Yes,2/9/2024,Monday,Evening,Solved,Adult,51
33405,10/24/2023,10/23/2023,24-10-2023 06:16,Ahmedabad,395,DRUG OFFENSE,15,M,Poison,Other Crime,12,No,,Monday,Night,Pending,Minor,N/A
37764,4/24/2024,4/22/2024,22-04-2024 15:16,Ghaziabad,406,FIREARM OFFENSE,22,F,Other,Fire Accident,4,No,,Monday,Night,Pending,Adult,N/A
4827,7/20/2020,7/20/2020,20-07-2020 02:10,Thane,141,VEHICLE - STOLEN,22,M,Explosives,Violent Crime,14,No,,Monday,Evening,Pending,Adult,N/A
28282,3/25/2023,3/24/2023,24-03-2023 15:03,Bangalore,308,SEXUAL ASSAULT,74,M,Poison,Violent Crime,15,No,,Friday,Night,Pending,Senior,N/A
623,1/27/2020,1/26/2020,27-01-2020 09:09,Bhopal,399,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,14,Yes,4/19/2020,Sunday,Night,Solved,Adult,83
20922,5/24/2022,5/21/2022,22-05-2022 11:07,Mumbai,240,PUBLIC INTOXICATION,79,Other,Blunt Object,Other Crime,3,No,,Saturday,Night,Pending,Senior,N/A
25831,12/12/2022,12/12/2022,12-12-2022 13:26,Hyderabad,330,ROBBERY,48,M,Knife,Violent Crime,18,Yes,4/6/2023,Monday,Afternoon,Solved,Adult,115
13237,7/8/2021,5/7/2021,05-07-2021 18:35,Kanpur,571,PUBLIC INTOXICATION,44,F,Poison,Other Crime,17,No,,Friday,Morning,Pending,Adult,N/A
11480,4/25/2021,4/23/2021,23-04-2021 20:41,Delhi,216,SEXUAL ASSAULT,33,F,None,Violent Crime,4,Yes,11/7/2022,Friday,Night,Solved,Adult,561
36991,3/24/2024,3/21/2024,21-03-2024 21:47,Visakhapatnam,324,VANDALISM,27,F,Explosives,Other Crime,18,No,,Thursday,Night,Pending,Adult,N/A
35255,1/11/2024,8/1/2024,08-01-2024 23:24,Hyderabad,272,VEHICLE - STOLEN,42,F,Knife,Violent Crime,18,No,,Thursday,Morning,Pending,Adult,N/A
27028,2/1/2023,1/31/2023,01-02-2023 0:25,Hyderabad,195,FIREARM OFFENSE,25,Other,Firearm,Fire Accident,6,No,,Tuesday,Morning,Pending,Adult,N/A
22557,7/31/2022,7/28/2022,29-07-2022 06:25,Lucknow,403,TRAFFIC VIOLATION,44,F,Firearm,Traffic Fatality,19,No,,Thursday,Night,Pending,Adult,N/A
22244,7/17/2022,7/15/2022,16-07-2022 12:41,Kolkata,235,VANDALISM,68,M,Firearm,Other Crime,10,Yes,8/2/2022,Friday,Afternoon,Solved,Senior,16
9318,1/23/2021,1/23/2021,23-01-2021 07:46,Bangalore,232,IDENTITY THEFT,33,M,Blunt Object,Violent Crime,17,No,,Saturday,Night,Pending,Adult,N/A
28861,4/19/2023,4/17/2023,17-04-2023 18:54,Mumbai,579,HOMICIDE,64,M,None,Other Crime,5,Yes,3/21/2024,Monday,Evening,Solved,Senior,337
4970,7/27/2020,7/26/2020,26-07-2020 07:14,Pune,470,FRAUD,41,M,None,Other Crime,6,Yes,9/15/2020,Sunday,Night,Solved,Adult,50
7910,11/26/2020,11/25/2020,25-11-2020 14:37,Nagpur,165,VEHICLE - STOLEN,64,F,None,Violent Crime,8,Yes,12/12/2020,Wednesday,Night,Solved,Senior,16
9460,1/29/2021,1/29/2021,29-01-2021 15:00,Bangalore,121,VEHICLE - STOLEN,77,F,Blunt Object,Violent Crime,13,Yes,4/24/2021,Friday,Night,Solved,Senior,85
32561,9/20/2023,9/18/2023,19-09-2023 08:59,Bhopal,278,PUBLIC INTOXICATION,15,F,None,Other Crime,13,Yes,10/7/2023,Monday,Evening,Solved,Minor,17
26881,1/26/2023,1/25/2023,25-01-2023 11:13,Ahmedabad,233,DOMESTIC VIOLENCE,78,F,Firearm,Violent Crime,4,Yes,2/23/2023,Wednesday,Night,Solved,Senior,28
2460,4/13/2020,12/4/2020,13-04-2020 01:52,Ahmedabad,163,ROBBERY,16,F,Other,Violent Crime,6,Yes,5/24/2020,Friday,Afternoon,Solved,Minor,41
26380,1/6/2023,4/1/2023,04-01-2023 3:46,Hyderabad,512,PUBLIC INTOXICATION,65,M,None,Other Crime,3,No,,Saturday,Morning,Pending,Senior,N/A
16922,12/6/2021,6/12/2021,06-12-2021 8:22,Bangalore,353,TRAFFIC VIOLATION,72,Other,Firearm,Traffic Fatality,12,No,,Saturday,Morning,Pending,Senior,N/A
19099,3/7/2022,6/3/2022,07-03-2022 11:14,Bangalore,543,ROBBERY,74,Other,Explosives,Violent Crime,4,No,,Friday,Morning,Pending,Senior,N/A
35937,2/7/2024,6/2/2024,06-02-2024 18:36,Jaipur,144,COUNTERFEITING,46,M,Knife,Other Crime,8,Yes,3/7/2024,Sunday,Morning,Solved,Adult,29
39798,7/17/2024,7/16/2024,16-07-2024 16:06,Mumbai,597,DRUG OFFENSE,66,M,Firearm,Other Crime,16,No,,Tuesday,Afternoon,Pending,Senior,N/A
9014,1/11/2021,10/1/2021,10-01-2021 19:04,Chennai,216,FIREARM OFFENSE,41,F,None,Fire Accident,19,Yes,2/5/2021,Friday,Morning,Solved,Adult,25
7793,11/22/2020,11/20/2020,21-11-2020 08:29,Faridabad,372,HOMICIDE,35,F,Knife,Other Crime,6,Yes,9/3/2022,Friday,Night,Solved,Adult,650
12604,6/9/2021,9/6/2021,09-06-2021 8:02,Kolkata,588,ARSON,17,M,Poison,Fire Accident,3,Yes,7/16/2021,Monday,Morning,Solved,Minor,37
28985,4/24/2023,4/22/2023,23-04-2023 12:04,Ahmedabad,195,HOMICIDE,35,F,Explosives,Other Crime,4,No,,Saturday,Night,Pending,Adult,N/A
23554,9/9/2022,8/9/2022,08-09-2022 20:14,Meerut,475,ASSAULT,54,Other,Explosives,Violent Crime,4,No,,Tuesday,Morning,Pending,Adult,N/A
37380,4/8/2024,6/4/2024,06-04-2024 23:13,Kanpur,558,ASSAULT,68,F,Firearm,Violent Crime,4,Yes,5/18/2024,Tuesday,Morning,Solved,Senior,40
12529,6/8/2021,6/6/2021,06-06-2021 14:06,Kolkata,586,TRAFFIC VIOLATION,38,F,Knife,Traffic Fatality,12,No,,Sunday,Morning,Pending,Adult,N/A
21235,6/3/2022,3/6/2022,04-06-2022 14:27,Kolkata,180,FRAUD,11,Other,Knife,Other Crime,13,Yes,8/2/2022,Sunday,Morning,Solved,Minor,60
7747,11/19/2020,11/18/2020,18-11-2020 20:00,Bangalore,236,ARSON,36,M,Blunt Object,Fire Accident,5,No,,Wednesday,Evening,Pending,Adult,N/A
26152,12/26/2022,12/25/2022,25-12-2022 19:50,Bangalore,194,PUBLIC INTOXICATION,20,M,Poison,Other Crime,16,No,,Sunday,Night,Pending,Adult,N/A
30395,6/23/2023,6/20/2023,21-06-2023 03:19,Kanpur,231,DRUG OFFENSE,10,F,Other,Other Crime,6,No,,Tuesday,Night,Pending,Minor,N/A
7393,11/5/2020,4/11/2020,04-11-2020 1:11,Surat,109,DOMESTIC VIOLENCE,46,M,Firearm,Violent Crime,2,No,,Saturday,Morning,Pending,Adult,N/A
3300,5/19/2020,5/17/2020,17-05-2020 21:08,Delhi,483,ASSAULT,27,M,Blunt Object,Violent Crime,12,Yes,6/21/2020,Sunday,Evening,Solved,Adult,33
13703,7/25/2021,7/24/2021,25-07-2021 03:33,Ahmedabad,330,DRUG OFFENSE,32,F,Explosives,Other Crime,14,Yes,8/28/2021,Saturday,Night,Solved,Adult,34
15151,9/24/2021,9/23/2021,23-09-2021 15:27,Rajkot,505,SEXUAL ASSAULT,70,F,Firearm,Violent Crime,3,Yes,6/28/2023,Thursday,Night,Solved,Senior,642
2592,4/18/2020,4/17/2020,18-04-2020 02:07,Lucknow,579,HOMICIDE,14,F,Explosives,Other Crime,17,No,,Friday,Evening,Pending,Minor,N/A
10607,3/20/2021,3/17/2021,18-03-2021 07:07,Lucknow,502,BURGLARY,66,M,Explosives,Other Crime,4,Yes,6/7/2021,Wednesday,Evening,Solved,Senior,79
11798,5/9/2021,6/5/2021,06-05-2021 17:09,Nagpur,461,ASSAULT,13,F,Firearm,Violent Crime,8,No,,Saturday,Morning,Pending,Minor,N/A
33905,11/15/2023,11/13/2023,13-11-2023 18:02,Chennai,199,BURGLARY,46,M,Explosives,Other Crime,3,Yes,4/16/2024,Monday,Afternoon,Solved,Adult,153
30749,7/7/2023,5/7/2023,06-07-2023 1:09,Mumbai,351,BURGLARY,30,M,Firearm,Other Crime,18,Yes,9/2/2023,Sunday,Morning,Solved,Adult,57
17474,12/29/2021,12/29/2021,29-12-2021 07:08,Visakhapatnam,181,ASSAULT,11,M,Firearm,Violent Crime,8,No,,Wednesday,Night,Pending,Minor,N/A
10529,3/14/2021,3/14/2021,14-03-2021 19:27,Delhi,137,KIDNAPPING,19,F,Other,Other Crime,1,No,,Sunday,Afternoon,Pending,Adult,N/A
7068,10/24/2020,10/21/2020,21-10-2020 17:12,Visakhapatnam,211,IDENTITY THEFT,49,F,Blunt Object,Violent Crime,6,Yes,11/18/2020,Wednesday,Night,Solved,Adult,25
22442,7/26/2022,7/24/2022,24-07-2022 01:14,Mumbai,236,CYBERCRIME,61,F,Explosives,Other Crime,2,Yes,8/3/2022,Sunday,Night,Solved,Senior,8
28515,4/4/2023,3/4/2023,03-04-2023 14:02,Mumbai,220,DOMESTIC VIOLENCE,71,M,Blunt Object,Violent Crime,13,Yes,4/24/2023,Saturday,Morning,Solved,Senior,20
19955,4/12/2022,11/4/2022,11-04-2022 21:25,Bangalore,340,KIDNAPPING,71,F,Explosives,Other Crime,5,Yes,5/3/2022,Friday,Morning,Solved,Senior,21
34631,12/14/2023,12/13/2023,14-12-2023 04:05,Pune,531,SEXUAL ASSAULT,52,F,Blunt Object,Violent Crime,14,Yes,7/6/2025,Wednesday,Afternoon,Solved,Adult,570
27169,2/8/2023,6/2/2023,06-02-2023 18:07,Pune,497,SHOPLIFTING,19,M,None,Other Crime,8,Yes,5/1/2023,Friday,Morning,Solved,Adult,82
21190,6/4/2022,1/6/2022,02-06-2022 8:45,Mumbai,433,EXTORTION,74,F,Other,Other Crime,5,Yes,7/6/2022,Thursday,Morning,Solved,Senior,32
17127,12/16/2021,12/14/2021,15-12-2021 03:48,Kolkata,268,IDENTITY THEFT,76,F,Firearm,Violent Crime,8,No,,Tuesday,Afternoon,Pending,Senior,N/A
21509,6/17/2022,6/15/2022,15-06-2022 14:42,Ludhiana,500,ARSON,42,M,Firearm,Fire Accident,12,No,,Wednesday,Afternoon,Pending,Adult,N/A
13010,6/28/2021,6/26/2021,26-06-2021 08:36,Mumbai,426,DOMESTIC VIOLENCE,78,F,Firearm,Violent Crime,3,No,,Saturday,Night,Pending,Senior,N/A
4191,6/24/2020,6/23/2020,23-06-2020 17:03,Indore,540,IDENTITY THEFT,74,F,Poison,Violent Crime,6,Yes,9/4/2020,Tuesday,Night,Solved,Senior,72
6689,10/6/2020,5/10/2020,06-10-2020 1:37,Delhi,583,SHOPLIFTING,71,F,Explosives,Other Crime,7,No,,Sunday,Morning,Pending,Senior,N/A
22841,8/12/2022,9/8/2022,10-08-2022 0:05,Nagpur,442,TRAFFIC VIOLATION,57,M,Firearm,Traffic Fatality,2,Yes,8/13/2022,Thursday,Morning,Solved,Adult,1
16697,11/29/2021,11/26/2021,26-11-2021 22:13,Nagpur,252,ASSAULT,18,M,Poison,Violent Crime,14,No,,Friday,Night,Pending,Adult,N/A
36144,2/17/2024,2/14/2024,15-02-2024 01:28,Delhi,209,KIDNAPPING,67,F,Firearm,Other Crime,12,No,,Wednesday,Afternoon,Pending,Senior,N/A
1600,3/9/2020,7/3/2020,07-03-2020 19:00,Lucknow,320,TRAFFIC VIOLATION,38,F,Other,Traffic Fatality,17,Yes,3/26/2020,Friday,Morning,Solved,Adult,17
32221,9/6/2023,4/9/2023,05-09-2023 8:41,Bhopal,551,DOMESTIC VIOLENCE,17,M,None,Violent Crime,19,Yes,10/26/2023,Sunday,Morning,Solved,Minor,50
26966,1/30/2023,1/28/2023,28-01-2023 23:31,Nagpur,442,SEXUAL ASSAULT,11,F,None,Violent Crime,9,Yes,10/1/2023,Saturday,Night,Solved,Minor,244
192,1/9/2020,8/1/2020,09-01-2020 20:39,Delhi,381,IDENTITY THEFT,18,M,Blunt Object,Violent Crime,11,Yes,1/20/2020,Saturday,Morning,Solved,Adult,11
36686,3/9/2024,8/3/2024,09-03-2024 2:04,Kanpur,559,FIREARM OFFENSE,56,M,None,Fire Accident,15,No,,Saturday,Morning,Pending,Adult,N/A
21140,6/2/2022,5/30/2022,31-05-2022 13:32,Nagpur,538,BURGLARY,41,M,Poison,Other Crime,6,No,,Monday,Night,Pending,Adult,N/A
22764,8/8/2022,6/8/2022,06-08-2022 16:39,Kalyan,303,ASSAULT,42,M,Firearm,Violent Crime,7,No,,Wednesday,Morning,Pending,Adult,N/A
38049,5/6/2024,4/5/2024,04-05-2024 22:21,Ahmedabad,467,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,17,Yes,9/18/2025,Friday,Morning,Solved,Senior,500
22620,8/1/2022,7/31/2022,01-08-2022 6:49,Hyderabad,265,ILLEGAL POSSESSION,49,Other,Explosives,Other Crime,10,Yes,8/25/2022,Sunday,Morning,Solved,Adult,24
6744,10/10/2020,7/10/2020,08-10-2020 17:02,Rajkot,160,CYBERCRIME,42,F,Knife,Other Crime,9,No,,Friday,Morning,Pending,Adult,N/A
1127,2/19/2020,2/16/2020,16-02-2020 23:38,Bangalore,334,EXTORTION,63,M,Other,Other Crime,3,Yes,3/21/2020,Sunday,Afternoon,Solved,Senior,31
37836,4/26/2024,4/25/2024,26-04-2024 06:42,Bhopal,181,HOMICIDE,41,M,None,Other Crime,6,Yes,3/22/2025,Thursday,Night,Solved,Adult,330
14518,8/28/2021,8/27/2021,28-08-2021 04:17,Chennai,227,KIDNAPPING,20,F,Other,Other Crime,11,Yes,11/16/2021,Friday,Night,Solved,Adult,80
31773,8/17/2023,8/16/2023,17-08-2023 11:06,Mumbai,347,EXTORTION,52,F,Other,Other Crime,1,No,,Wednesday,Evening,Pending,Adult,N/A
28501,4/3/2023,2/4/2023,03-04-2023 1:45,Hyderabad,341,ROBBERY,45,Other,None,Violent Crime,14,Yes,8/10/2023,Saturday,Morning,Solved,Adult,129
33091,10/12/2023,10/10/2023,11-10-2023 4:56,Delhi,345,ILLEGAL POSSESSION,59,F,Firearm,Other Crime,9,Yes,12/21/2023,Tuesday,Morning,Solved,Adult,70
23246,8/29/2022,8/26/2022,27-08-2022 01:02,Kolkata,587,DOMESTIC VIOLENCE,16,F,None,Violent Crime,16,Yes,10/7/2022,Friday,Night,Solved,Minor,39
18214,1/30/2022,1/28/2022,29-01-2022 04:43,Srinagar,306,FRAUD,60,F,None,Other Crime,14,No,,Friday,Night,Pending,Senior,N/A
12858,6/22/2021,6/19/2021,19-06-2021 17:42,Bangalore,458,VEHICLE - STOLEN,62,F,Explosives,Violent Crime,17,Yes,9/10/2021,Saturday,Evening,Solved,Senior,80
29093,4/29/2023,4/27/2023,28-04-2023 03:21,Kolkata,362,SEXUAL ASSAULT,64,F,Explosives,Violent Crime,18,No,,Thursday,Night,Pending,Senior,N/A
6350,9/22/2020,9/21/2020,22-09-2020 04:42,Jaipur,590,VANDALISM,58,F,Explosives,Other Crime,1,Yes,11/29/2020,Monday,Night,Solved,Adult,68
25796,12/13/2022,10/12/2022,11-12-2022 5:19,Mumbai,143,HOMICIDE,46,Other,Knife,Other Crime,17,No,,Wednesday,Morning,Pending,Adult,N/A
6433,9/27/2020,9/25/2020,25-09-2020 04:06,Surat,347,DOMESTIC VIOLENCE,51,F,Knife,Violent Crime,1,Yes,10/6/2020,Friday,Night,Solved,Adult,9
30346,6/19/2023,6/18/2023,19-06-2023 08:13,Pune,480,ROBBERY,79,F,Blunt Object,Violent Crime,2,No,,Sunday,Evening,Pending,Senior,N/A
13816,7/31/2021,7/29/2021,30-07-2021 10:11,Kalyan,346,COUNTERFEITING,24,M,Firearm,Other Crime,3,Yes,8/24/2021,Thursday,Night,Solved,Adult,24
35547,1/23/2024,1/21/2024,21-01-2024 07:50,Mumbai,526,ASSAULT,37,F,Blunt Object,Violent Crime,11,No,,Sunday,Night,Pending,Adult,N/A
2219,4/4/2020,2/4/2020,02-04-2020 11:36,Kolkata,556,CYBERCRIME,20,F,Knife,Other Crime,10,Yes,6/7/2020,Tuesday,Morning,Solved,Adult,64
14637,9/3/2021,1/9/2021,02-09-2021 1:40,Delhi,202,KIDNAPPING,66,M,Other,Other Crime,13,Yes,10/9/2021,Saturday,Morning,Solved,Senior,36
26904,1/28/2023,1/25/2023,26-01-2023 19:39,Bangalore,512,ROBBERY,36,F,Explosives,Violent Crime,9,No,,Wednesday,Night,Pending,Adult,N/A
32231,9/7/2023,4/9/2023,05-09-2023 3:27,Ludhiana,531,FIREARM OFFENSE,65,M,Knife,Fire Accident,13,Yes,10/9/2023,Sunday,Morning,Solved,Senior,32
4954,7/27/2020,7/25/2020,26-07-2020 01:45,Bangalore,172,SHOPLIFTING,34,F,Poison,Other Crime,5,Yes,8/17/2020,Saturday,Night,Solved,Adult,21
34387,12/5/2023,3/12/2023,04-12-2023 10:54,Kolkata,162,ROBBERY,62,F,Firearm,Violent Crime,3,Yes,2/27/2024,Sunday,Morning,Solved,Senior,84
14519,8/28/2021,8/27/2021,27-08-2021 23:01,Chennai,269,PUBLIC INTOXICATION,73,M,Explosives,Other Crime,14,Yes,8/31/2021,Friday,Night,Solved,Senior,3
12647,6/12/2021,10/6/2021,11-06-2021 16:59,Ludhiana,250,ROBBERY,25,F,Blunt Object,Violent Crime,15,Yes,7/30/2021,Wednesday,Morning,Solved,Adult,48
10755,3/26/2021,3/24/2021,24-03-2021 09:00,Ludhiana,164,EXTORTION,51,F,Other,Other Crime,18,Yes,5/25/2021,Wednesday,Night,Solved,Adult,60
22248,7/16/2022,7/15/2022,16-07-2022 19:44,Ghaziabad,211,KIDNAPPING,76,M,Firearm,Other Crime,7,Yes,10/3/2022,Friday,Afternoon,Solved,Senior,79
3917,6/13/2020,12/6/2020,12-06-2020 17:42,Varanasi,300,EXTORTION,76,F,Knife,Other Crime,1,No,,Sunday,Afternoon,Pending,Senior,N/A
23794,9/19/2022,9/18/2022,18-09-2022 14:34,Mumbai,324,ARSON,64,Other,Other,Fire Accident,18,Yes,11/28/2022,Sunday,Evening,Solved,Senior,70
8559,12/25/2020,12/22/2020,22-12-2020 14:25,Hyderabad,564,VEHICLE - STOLEN,40,F,Firearm,Violent Crime,1,Yes,2/26/2021,Tuesday,Night,Solved,Adult,63
10370,3/9/2021,8/3/2021,08-03-2021 10:08,Thane,119,DRUG OFFENSE,38,M,Blunt Object,Other Crime,7,Yes,3/19/2021,Tuesday,Morning,Solved,Adult,10
39411,7/1/2024,6/30/2024,30-06-2024 16:02,Srinagar,367,BURGLARY,19,M,Poison,Other Crime,10,No,,Sunday,Night,Pending,Adult,N/A
37893,4/29/2024,4/27/2024,28-04-2024 19:20,Jaipur,253,COUNTERFEITING,20,F,None,Other Crime,5,No,,Saturday,Night,Pending,Adult,N/A
36939,3/21/2024,3/19/2024,19-03-2024 23:07,Nagpur,476,ROBBERY,33,F,Explosives,Violent Crime,10,No,,Tuesday,Evening,Pending,Adult,N/A
1701,3/13/2020,11/3/2020,12-03-2020 6:52,Kanpur,196,CYBERCRIME,16,M,None,Other Crime,13,No,,Tuesday,Afternoon,Pending,Minor,N/A
36256,2/21/2024,2/19/2024,20-02-2024 13:41,Visakhapatnam,525,ASSAULT,12,F,Other,Violent Crime,6,Yes,3/15/2024,Monday,Evening,Solved,Minor,23
33176,10/16/2023,10/14/2023,14-10-2023 22:11,Lucknow,405,KIDNAPPING,27,F,Knife,Other Crime,17,Yes,1/12/2024,Saturday,Afternoon,Solved,Adult,88
20879,5/21/2022,5/19/2022,20-05-2022 07:46,Ludhiana,590,ARSON,32,Other,None,Fire Accident,9,No,,Thursday,Evening,Pending,Adult,N/A
25469,11/27/2022,11/27/2022,28-11-2022 01:25,Srinagar,248,BURGLARY,66,F,Knife,Other Crime,17,No,,Sunday,Night,Pending,Senior,N/A
6268,9/19/2020,9/18/2020,18-09-2020 17:03,Hyderabad,424,EXTORTION,40,F,Blunt Object,Other Crime,18,No,,Friday,Evening,Pending,Adult,N/A
16879,12/7/2021,4/12/2021,04-12-2021 22:30,Agra,537,KIDNAPPING,57,M,None,Other Crime,11,No,,Monday,Morning,Pending,Adult,N/A
17463,12/30/2021,12/28/2021,29-12-2021 12:50,Pune,520,VEHICLE - STOLEN,34,F,Knife,Violent Crime,10,Yes,1/20/2022,Tuesday,Night,Solved,Adult,21
